category,amt,gender,is_fraud,age,day,hour,distance_km
entertainment,1.32,M,0,71,Thu,13,Commute
misc,7.54,M,0,71,Fri,3,Long_Distance
travel,55.07,F,0,46,Sun,4,Regional
health,4.22,F,0,23,Tue,17,Long_Distance
home,43.0,F,0,89,Tue,18,Long_Distance
shopping,9.38,M,0,35,Sat,18,Commute
home,21.53,F,0,47,Tue,18,Regional
home,37.76,F,0,58,Mon,23,Long_Distance
grocery,210.69,F,0,38,Sun,4,Commute
entertainment,145.52,F,0,56,Fri,6,Regional
home,4.02,F,0,42,Sun,20,Long_Distance
grocery,26.63,M,0,30,Thu,4,Commute
travel,48.49,F,0,51,Wed,11,Long_Distance
travel,47.57,F,0,32,Thu,10,Remote
home,85.88,F,0,21,Sun,12,Long_Distance
home,90.76,F,0,48,Sat,20,Long_Distance
shopping,141.66,M,0,63,Fri,11,Long_Distance
shopping,1.23,F,0,31,Mon,14,Remote
grocery,20.97,F,0,79,Sun,20,Long_Distance
shopping,26.29,F,0,58,Mon,9,Long_Distance
home,55.67,F,0,37,Sun,21,Commute
shopping,83.37,M,0,31,Mon,10,Long_Distance
shopping,169.96,M,0,24,Sun,20,Remote
shopping,5.18,F,0,43,Fri,13,Long_Distance
home,13.3,F,0,69,Thu,13,Commute
health,88.27,F,0,24,Mon,19,Commute
personal,5.21,M,0,52,Sat,22,Commute
health,103.74,F,0,24,Mon,17,Regional
shopping,69.72,F,0,33,Tue,22,Long_Distance
travel,9.55,F,0,45,Mon,19,Long_Distance
personal,14.29,M,0,61,Sun,19,Commute
entertainment,69.11,F,0,33,Sun,13,Long_Distance
grocery,120.85,M,0,54,Sat,6,Commute
misc,12.86,F,0,35,Wed,21,Regional
grocery,118.35,F,0,91,Tue,1,Long_Distance
travel,48.78,F,0,55,Thu,4,Commute
grocery,203.22,F,0,27,Sat,0,Commute
travel,293.41,F,0,51,Thu,19,Commute
grocery,102.09,F,0,48,Mon,4,Long_Distance
grocery,97.89,M,0,45,Mon,10,Regional
personal,235.37,M,0,78,Sat,12,Long_Distance
grocery,94.85,M,0,27,Thu,6,Long_Distance
shopping,3.47,F,0,42,Mon,22,Long_Distance
grocery,60.54,M,0,45,Mon,9,Long_Distance
health,53.35,M,0,49,Mon,14,Long_Distance
home,192.31,M,0,20,Mon,14,Commute
grocery,31.61,M,0,39,Sat,3,Long_Distance
health,21.04,F,0,50,Wed,15,Regional
personal,12.0,F,0,62,Sun,15,Commute
home,50.08,F,0,29,Fri,15,Long_Distance
health,8.79,M,0,24,Sun,18,Long_Distance
shopping,4.89,M,0,61,Sun,11,Regional
shopping,7.87,F,0,60,Wed,3,Regional
home,31.25,F,0,43,Thu,21,Long_Distance
misc,35.05,M,0,20,Tue,22,Commute
misc,115.36,F,0,21,Sun,20,Long_Distance
home,144.79,F,0,35,Wed,22,Long_Distance
misc,102.67,M,0,30,Tue,11,Regional
health,75.59,M,0,26,Sat,13,Long_Distance
travel,42.89,M,0,22,Wed,9,Commute
grocery,111.16,F,0,46,Wed,11,Regional
health,65.68,F,0,28,Sun,18,Regional
misc,151.74,M,0,17,Fri,20,Long_Distance
shopping,3.81,F,0,41,Sun,19,Long_Distance
entertainment,3.37,M,0,67,Sun,17,Long_Distance
shopping,1309.21,F,0,49,Thu,21,Long_Distance
travel,67.77,M,0,22,Sat,9,Long_Distance
home,39.1,M,0,30,Sun,19,Long_Distance
health,10.16,F,0,21,Mon,22,Long_Distance
entertainment,107.51,M,0,73,Wed,6,Commute
entertainment,93.18,F,0,50,Mon,14,Regional
misc,6.38,M,0,61,Fri,10,Long_Distance
shopping,7.02,M,0,25,Tue,17,Long_Distance
shopping,31.53,F,0,51,Fri,9,Long_Distance
shopping,135.04,M,0,39,Sun,10,Commute
travel,5.57,M,0,34,Mon,21,Long_Distance
home,23.97,F,0,57,Mon,14,Long_Distance
travel,56.75,M,0,78,Mon,5,Long_Distance
