category,amt,gender,is_fraud,age,day,hour,distance_km
home,14.57,F,0,83,Sat,23,Commute
grocery,90.42,M,0,29,Thu,0,Regional
personal,33.28,F,0,26,Wed,16,Regional
travel,2.6,F,0,32,Mon,15,Long_Distance
shopping,4.53,F,0,41,Mon,13,Commute
travel,41.2,M,0,61,Tue,0,Long_Distance
health,11.09,F,0,78,Fri,13,Commute
home,48.13,M,0,41,Sun,18,Regional
health,131.65,M,0,35,Wed,19,Regional
health,44.96,F,0,32,Sun,14,Regional
shopping,19.56,F,0,27,Thu,22,Commute
personal,1.02,F,0,33,Tue,13,Local
shopping,3.63,M,0,62,Fri,0,Long_Distance
home,116.91,F,0,93,Sat,17,Long_Distance
misc,3.02,M,0,26,Sun,9,Commute
grocery,9.64,F,0,42,Sun,16,Commute
health,17.44,F,0,35,Mon,20,Local
grocery,53.45,M,0,30,Sat,10,Regional
personal,8.62,F,0,49,Wed,23,Long_Distance
shopping,2.28,F,0,64,Sun,9,Long_Distance
shopping,94.34,F,0,15,Sun,18,Regional
grocery,72.83,F,0,34,Thu,15,Long_Distance
health,74.42,M,0,27,Wed,21,Long_Distance
grocery,31.19,F,0,38,Sun,18,Commute
travel,4.38,F,0,77,Mon,15,Long_Distance
shopping,289.12,M,0,83,Tue,8,Commute
shopping,97.99,F,0,42,Sun,19,Local
misc,14.82,M,0,71,Tue,6,Long_Distance
shopping,2.14,F,0,70,Fri,9,Regional
travel,62.61,F,0,20,Sun,11,Commute
grocery,44.27,M,0,32,Thu,2,Long_Distance
personal,5.65,M,0,23,Tue,17,Long_Distance
health,69.68,M,0,27,Sat,15,Regional
home,118.32,F,0,16,Tue,16,Long_Distance
home,12.53,M,0,51,Fri,23,Long_Distance
grocery,107.77,F,0,59,Fri,1,Long_Distance
entertainment,63.16,M,0,65,Wed,4,Long_Distance
grocery,52.87,M,0,45,Sun,3,Long_Distance
health,82.75,F,0,44,Thu,13,Regional
grocery,40.43,M,0,43,Sat,8,Regional
home,45.33,M,0,27,Sun,21,Regional
home,37.39,M,0,19,Sun,23,Long_Distance
personal,28.77,F,0,25,Mon,17,Commute
travel,72.57,F,0,51,Tue,9,Commute
personal,13.24,F,0,40,Tue,14,Commute
shopping,30.62,M,0,71,Wed,4,Regional
misc,7.49,M,0,74,Mon,4,Long_Distance
grocery,35.31,M,0,32,Sat,0,Long_Distance
misc,9.27,M,0,36,Sun,22,Long_Distance
shopping,2.35,F,0,36,Sun,20,Commute
home,26.27,M,0,40,Thu,18,Commute
travel,40.51,F,0,47,Wed,7,Commute
home,24.13,F,0,60,Thu,16,Regional
personal,93.13,F,0,32,Mon,13,Long_Distance
personal,13.58,F,0,44,Sat,13,Long_Distance
shopping,26.91,F,0,40,Mon,12,Long_Distance
grocery,76.77,M,0,38,Sun,11,Regional
health,72.98,M,0,37,Sat,19,Regional
entertainment,37.63,F,0,54,Mon,16,Long_Distance
grocery,59.47,M,0,26,Thu,22,Long_Distance
misc,3.35,F,0,30,Fri,21,Commute
travel,50.73,F,0,71,Mon,7,Long_Distance
home,94.39,M,0,55,Sat,21,Long_Distance
health,94.57,M,0,68,Tue,16,Long_Distance
grocery,105.91,F,0,32,Mon,11,Commute
home,87.54,M,0,78,Fri,15,Regional
shopping,432.79,F,0,80,Fri,7,Commute
