category,amt,gender,is_fraud,age,day,hour,distance_km
shopping,7.98,F,0,85,Sun,11,Long_Distance
grocery,73.24,M,0,85,Thu,6,Regional
grocery,13.14,F,0,18,Fri,19,Commute
grocery,191.12,F,0,32,Tue,9,Long_Distance
misc,7.82,M,0,42,Fri,17,Long_Distance
home,47.09,F,0,58,Thu,17,Regional
grocery,98.05,M,0,42,Sun,7,Regional
grocery,5.83,M,0,76,Tue,15,Long_Distance
grocery,59.43,F,0,45,Thu,2,Commute
home,92.45,M,0,65,Tue,17,Regional
home,92.25,F,0,81,Fri,15,Regional
shopping,1.71,F,0,57,Fri,7,Regional
personal,152.33,F,0,88,Wed,19,Commute
home,30.14,F,0,49,Mon,16,Remote
misc,2.41,F,0,35,Fri,5,Regional
home,88.06,F,0,70,Wed,18,Commute
grocery,202.23,F,0,43,Sat,0,Regional
health,2.89,M,0,24,Fri,15,Long_Distance
home,26.94,M,0,44,Mon,17,Commute
shopping,6.36,F,0,38,Tue,17,Commute
health,22.76,F,0,61,Mon,21,Regional
home,3.16,F,0,29,Tue,13,Long_Distance
shopping,4.95,F,0,31,Sun,19,Long_Distance
home,117.58,F,0,92,Thu,20,Long_Distance
home,41.02,F,0,36,Fri,14,Commute
misc,296.74,F,0,36,Fri,2,Long_Distance
travel,44.26,M,0,21,Sun,6,Long_Distance
grocery,117.77,F,0,88,Thu,0,Long_Distance
home,85.28,M,0,27,Fri,13,Regional
entertainment,111.11,M,0,40,Fri,18,Long_Distance
shopping,1.72,M,0,40,Mon,19,Regional
personal,8.91,F,0,41,Sat,23,Regional
grocery,98.5,M,0,57,Thu,5,Commute
entertainment,49.07,F,0,89,Mon,12,Commute
shopping,186.47,F,0,46,Fri,18,Commute
grocery,26.42,M,0,23,Sun,21,Regional
misc,34.86,M,0,34,Mon,3,Commute
home,67.46,M,0,24,Sun,12,Long_Distance
shopping,7.67,M,0,44,Tue,15,Long_Distance
entertainment,6.04,F,0,71,Thu,16,Commute
shopping,2.0,M,0,44,Sun,12,Commute
grocery,62.18,F,0,83,Mon,2,Local
home,66.69,F,0,32,Sun,17,Long_Distance
shopping,86.29,M,0,37,Mon,9,Commute
personal,110.78,F,0,37,Sun,22,Long_Distance
grocery,117.84,M,0,40,Sun,11,Commute
personal,147.52,F,0,45,Mon,18,Commute
shopping,423.51,F,0,53,Sun,10,Long_Distance
shopping,2885.04,F,0,30,Sun,16,Long_Distance
home,32.14,M,0,47,Sat,18,Long_Distance
home,34.29,F,0,36,Mon,22,Long_Distance
travel,116.88,F,0,28,Fri,2,Commute
home,11.9,F,0,22,Sun,19,Long_Distance
misc,9.67,M,0,41,Fri,17,Long_Distance
misc,9.38,F,0,33,Fri,19,Remote
grocery,22.72,M,0,33,Wed,4,Commute
grocery,33.0,M,0,18,Fri,13,Long_Distance
home,171.45,F,0,36,Thu,19,Long_Distance
grocery,200.12,F,0,81,Mon,20,Commute
grocery,135.64,M,0,56,Mon,8,Commute
shopping,5.85,M,0,49,Sun,9,Long_Distance
shopping,2.78,F,0,66,Tue,4,Long_Distance
misc,5.87,F,0,44,Thu,23,Regional
personal,98.07,F,0,53,Wed,21,Long_Distance
entertainment,59.06,F,0,48,Fri,16,Long_Distance
grocery,95.47,F,0,32,Mon,3,Long_Distance
health,5.76,F,0,50,Mon,13,Commute
travel,1.11,F,0,80,Sat,22,Regional
home,9.58,M,0,65,Wed,13,Long_Distance
travel,48.65,F,0,91,Thu,8,Long_Distance
home,191.84,F,0,68,Sun,12,Long_Distance
