category,amt,gender,is_fraud,age,day,hour,distance_km
misc,100.2,F,0,44,Sat,8,Long_Distance
home,8.05,F,0,66,Thu,17,Long_Distance
shopping,6.74,F,0,60,Mon,4,Local
entertainment,55.41,M,0,67,Sat,4,Long_Distance
health,3.73,F,0,36,Thu,13,Long_Distance
travel,8.74,F,0,35,Tue,18,Long_Distance
grocery,83.25,M,0,57,Tue,3,Local
travel,71.73,M,0,34,Mon,0,Commute
shopping,91.85,M,0,46,Thu,8,Commute
home,25.64,F,0,29,Wed,23,Regional
home,15.66,M,0,90,Sun,13,Commute
misc,34.91,M,0,49,Sat,11,Long_Distance
shopping,28.29,F,0,35,Sun,14,Regional
personal,13.59,F,0,21,Sat,22,Remote
misc,53.05,M,0,23,Sun,22,Commute
shopping,45.58,F,0,27,Mon,18,Long_Distance
shopping,1.36,F,0,50,Tue,20,Regional
grocery,201.27,M,0,71,Sat,4,Commute
personal,10.12,M,0,63,Tue,12,Commute
grocery,79.04,M,0,43,Sat,21,Long_Distance
grocery,69.24,M,0,31,Wed,0,Regional
home,22.72,M,0,39,Sat,13,Long_Distance
grocery,32.06,M,0,35,Fri,12,Remote
home,17.09,F,0,37,Sat,15,Long_Distance
home,58.81,M,0,37,Sat,23,Commute
misc,1.65,F,0,48,Sun,16,Commute
home,15.57,M,0,53,Thu,15,Commute
grocery,111.34,F,0,44,Sun,5,Long_Distance
entertainment,9.51,F,0,61,Mon,9,Long_Distance
misc,4.09,F,0,44,Sun,12,Long_Distance
home,14.07,M,0,26,Fri,19,Long_Distance
home,50.57,M,0,46,Fri,16,Long_Distance
shopping,7.85,F,0,37,Mon,19,Commute
home,40.22,F,0,62,Thu,12,Commute
home,3.9,F,0,37,Tue,23,Regional
personal,43.45,F,0,26,Fri,16,Long_Distance
travel,55.46,F,0,48,Tue,11,Long_Distance
personal,35.06,F,0,28,Wed,22,Long_Distance
personal,51.09,M,0,55,Sat,19,Regional
travel,52.45,F,0,25,Sun,3,Long_Distance
grocery,100.52,M,0,36,Tue,8,Regional
personal,6.85,M,0,30,Fri,16,Remote
home,11.7,M,0,46,Tue,12,Long_Distance
entertainment,19.29,M,0,48,Wed,19,Commute
personal,46.93,F,0,34,Tue,15,Long_Distance
home,100.33,F,0,23,Sun,18,Commute
health,6.91,F,0,35,Mon,12,Long_Distance
misc,1.38,M,0,32,Thu,3,Commute
personal,85.3,M,0,20,Sun,18,Long_Distance
shopping,3.37,F,0,38,Thu,17,Long_Distance
grocery,128.91,M,0,51,Fri,1,Long_Distance
personal,102.2,M,0,67,Thu,22,Commute
home,34.1,F,0,36,Sun,13,Long_Distance
misc,2.62,F,0,69,Mon,4,Commute
travel,51.5,F,0,34,Sat,11,Commute
entertainment,29.02,M,0,57,Mon,0,Regional
